Mess_ID,Date,Weekly_Crowd,Is_Holiday,Temperature,Menu_Score,Event_Intensity_Index,Stress_Level
1,5/2/2010,16437,0,42.31,2.428,7.04,8.106
1,12/2/2010,16420,1,38.51,2.452,7.04,8.106
1,19-02-2010,16120,0,39.93,2.486,7.04,8.106
1,26-02-2010,14097,0,46.63,2.439,7.04,8.106
1,5/3/2010,15548,0,46.5,2.375,7.05,8.106
1,12/3/2010,14395,0,57.79,2.333,7.05,8.106
1,19-03-2010,14725,0,54.58,2.28,7.04,8.106
1,26-03-2010,14044,0,51.45,2.268,7.03,8.106
1,2/4/2010,15950,0,62.27,2.281,7.03,7.808
1,9/4/2010,15454,0,65.86,2.23,7.02,7.808
1,16-04-2010,14661,0,66.32,2.192,7.02,7.808
1,23-04-2010,13913,0,64.84,2.205,7.01,7.808
1,30-04-2010,14251,0,67.41,2.22,7.01,7.808
1,7/5/2010,16040,0,72.55,2.165,7.01,7.808
1,14-05-2010,14943,0,74.78,2.146,7.01,7.808
1,21-05-2010,13997,0,76.44,2.174,7.02,7.808
1,28-05-2010,14321,0,80.44,2.241,7.03,7.808
1,4/6/2010,16155,0,80.69,2.295,7.04,7.808
1,11/6/2010,15426,0,80.43,2.332,7.05,7.808
1,18-06-2010,15033,0,84.11,2.363,7.05,7.808
1,25-06-2010,14227,0,84.34,2.347,7.04,7.808
1,2/7/2010,14924,0,80.91,2.331,7.04,7.787
1,9/7/2010,15461,0,80.48,2.358,7.04,7.787
1,16-07-2010,14489,0,83.15,2.377,7.04,7.787
1,23-07-2010,13851,0,83.36,2.392,7.04,7.787
1,30-07-2010,13720,0,81.84,2.36,7.05,7.787
1,6/8/2010,16055,0,87.16,2.373,7.05,7.787
1,13-08-2010,15082,0,87,2.308,7.05,7.787
1,20-08-2010,15131,0,86.65,2.336,7.05,7.787
1,27-08-2010,14491,0,85.22,2.381,7.05,7.787
1,3/9/2010,15402,0,81.21,2.423,7.05,7.787
1,10/9/2010,15075,1,78.69,2.435,7.05,7.787
1,17-09-2010,14304,0,82.11,2.418,7.05,7.787
1,24-09-2010,13518,0,80.94,2.376,7.05,7.787
1,1/10/2010,14533,0,71.89,2.397,7.06,7.838
1,8/10/2010,15082,0,63.93,2.367,7.06,7.838
1,15-10-2010,14594,0,67.18,2.28,7.06,7.838
1,22-10-2010,13455,0,69.86,2.275,7.06,7.838
1,29-10-2010,13842,0,69.64,2.284,7.06,7.838
1,5/11/2010,15517,0,58.74,2.311,7.07,7.838
1,12/11/2010,14945,0,59.61,2.272,7.07,7.838
1,19-11-2010,14838,0,51.41,2.229,7.06,7.838
1,26-11-2010,19556,1,64.52,2.265,7.06,7.838
1,3/12/2010,15480,0,49.27,2.292,7.05,7.838
1,10/12/2010,16826,0,46.33,2.157,7.05,7.838
1,17-12-2010,18910,0,49.84,2.131,7.05,7.838
1,24-12-2010,23880,0,52.33,2.114,7.05,7.838
1,31-12-2010,13673,1,48.43,2.057,7.05,7.838
1,7/1/2011,14447,0,48.27,2.024,7.05,7.742
1,14-01-2011,13910,0,35.4,2.017,7.05,7.742
1,21-01-2011,13274,0,44.04,1.984,7.06,7.742
1,28-01-2011,13169,0,43.83,1.99,7.07,7.742
1,4/2/2011,16066,0,42.27,2.011,7.09,7.742
1,11/2/2011,16496,1,36.39,1.978,7.1,7.742
1,18-02-2011,16868,0,57.36,1.955,7.11,7.742
1,25-02-2011,14568,0,62.9,1.935,7.12,7.742
1,4/3/2011,16363,0,59.58,1.712,7.13,7.742
1,11/3/2011,15532,0,53.56,1.541,7.14,7.742
1,18-03-2011,15768,0,62.76,1.512,7.15,7.742
1,25-03-2011,15411,0,69.97,1.527,7.15,7.742
1,1/4/2011,14951,0,59.17,1.476,7.16,7.682
1,8/4/2011,16143,0,67.84,1.378,7.17,7.682
1,15-04-2011,15599,0,71.27,1.257,7.18,7.682
1,22-04-2011,15648,0,72.99,1.193,7.18,7.682
1,29-04-2011,14551,0,72.03,1.19,7.19,7.682
1,6/5/2011,16294,0,64.61,1.094,7.19,7.682
1,13-05-2011,16048,0,75.64,1.101,7.2,7.682
1,20-05-2011,14282,0,67.63,1.093,7.19,7.682
1,27-05-2011,14660,0,77.72,1.214,7.18,7.682
1,3/6/2011,16351,0,83,1.301,7.18,7.682
1,10/6/2011,15889,0,83.13,1.352,7.17,7.682
1,17-06-2011,15321,0,86.41,1.363,7.17,7.682
1,24-06-2011,14388,0,83.58,1.406,7.17,7.682
1,1/7/2011,14885,0,85.55,1.476,7.17,7.962
1,8/7/2011,15348,0,85.83,1.52,7.18,7.962
1,15-07-2011,14551,0,88.54,1.425,7.18,7.962
1,22-07-2011,13969,0,85.77,1.349,7.18,7.962
1,29-07-2011,13522,0,86.83,1.318,7.18,7.962
1,5/8/2011,16244,0,91.65,1.316,7.18,7.962
1,12/8/2011,15251,0,90.76,1.362,7.19,7.962
1,19-08-2011,15308,0,89.94,1.446,7.19,7.962
1,26-08-2011,14647,0,87.96,1.477,7.19,7.962
1,2/9/2011,15502,0,87.83,1.467,7.19,7.962
1,9/9/2011,15405,1,76,1.454,7.2,7.962
1,16-09-2011,15143,0,79.94,1.474,7.2,7.962
1,23-09-2011,13800,0,75.8,1.533,7.21,7.962
